Age,Gender,Status,Entry Time
14,Female,Allowed,2025-02-09 13:32:40
5,Male,Not Allowed,2025-02-09 13:33:20
24,Female,Allowed,2025-02-09 13:33:38
18,Female,Allowed,2025-02-09 13:33:48
24,Male,Allowed,2025-02-09 13:34:12
20,Female,Allowed,2025-02-09 13:34:29
10,Female,Not Allowed,2025-02-09 13:34:39
10,Male,Not Allowed,2025-02-09 13:34:48
19,Female,Allowed,2025-02-09 13:35:04
4,Male,Not Allowed,2025-02-09 13:35:20
